tenure,deposit,turnover,withdrawal,deposit_next
71,92.99,124.82,0,0
4267,28126.36,98996.5,21462.93,476.47
287,1058.93,8850.59,45.96,187.53
34,46.69,121.41,0,23.63
1193,6761.28,46704.26,9437.93,208.74
2390,51523.63,730912.05,5223.62,2343.79
319,1591.32,4914.63,3132.63,257.36
1989,119214.44,799462.92,114985.66,6184.88
1570,690.11,1255.67,243.31,22.37
3607,113438.57,802214.77,97478.04,2046.89
611,16541.21,98290.98,3180.71,323.64
97,7641.09,77197.58,0,5439.79
3829,56425.99,443703.64,42051.02,0
5465,1542.56,9018.05,567.43,47.85
24,2505.18,2202.2,0,0
